"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Friday",4672.84691145535
"2","member","Friday",755.235011734585
"3","casual","Monday",3313.71677275447
"4","member","Monday",766.927029731614
"5","casual","Saturday",4156.0143413235
"6","member","Saturday",946.430131499053
"7","casual","Sunday",4288.78667091112
"8","member","Sunday",881.603066126478
"9","casual","Thursday",5280.08448302589
"10","member","Thursday",712.296673177494
"11","casual","Tuesday",4286.42832782141
"12","member","Tuesday",775.83778895656
"13","casual","Wednesday",4434.74203270637
"14","member","Wednesday",719.404902223413
